title,beds,bath,area,adress,type,purpose,flooPlan,url,lastUpdated,price
Eminent Apartment Of 2200 Sq Ft Is Vacant For Rent In Bashundhara R-A.,3 ,4 ,"2,200 sqft","Block A, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1021948-240x180.webp,https://www.bproperty.com/en/property/details-2082380.html,"August 13, 2022",50 Thousand
"Apartment Ready To Rent In South Khulshi, Nearby South Khulshi Police Station",3 ,4 ,"1,400 sqft","South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/44434-400x300.webp,https://www.bproperty.com/en/property/details-1978917.html,"January 25, 2022",30 Thousand
"Smartly priced 1950 SQ FT apartment, that you should check in Bashundhara R-A",3 ,4 ,"1,950 sqft","Block F, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/116385-400x300.webp,https://www.bproperty.com/en/property/details-5299675.html,"February 22, 2023",30 Thousand
"2000 Sq Ft Residential Apartment Is Up For Rental Purpose In Sector 9, Uttara",3 ,3 ,"2,000 sqft","Sector 9, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1419221-240x180.webp,https://www.bproperty.com/en/property/details-3032662.html,"October 28, 2021",35 Thousand
"Strongly Structured This 1650 Sq. ft Apartment Is Now Vacant For Rent In Block I , Bashundhara R-A",3 ,4 ,"1,650 sqft","Block I, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1062867-240x180.webp,https://www.bproperty.com/en/property/details-3241309.html,"February 19, 2023",25 Thousand
"A nice residential flat of 3400 SQ FT, for rent, can be found in Gulshan Avenue",5 ,5 ,"3,400 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1549645-240x180.webp,https://www.bproperty.com/en/property/details-3859222.html,"February 14, 2023",1.1 Lakh
1600 Square Feet Apartment With Amazing Rooms Is For Rent In Uttara-6,3 ,3 ,"1,600 sqft","Sector 6, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1544311-240x180.webp,https://www.bproperty.com/en/property/details-4621765.html,"August 6, 2022",35 Thousand
Let Us Help You To Rent This 1250 Sq Ft Apartment Which Is Now Available In Bashundhara R-A,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1563130-240x180.webp,https://www.bproperty.com/en/property/details-5370542.html,"January 4, 2023",23 Thousand
"An Extensive Apartment Of 2150 Sq Ft Is Vacant For Rent In Ranavola Avenue, Uttara",3 ,4 ,"2,150 sqft","Sector 10, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1572723-240x180.webp,https://www.bproperty.com/en/property/details-1941282.html,"June 28, 2022",40 Thousand
A well-constructed 1250 SQ FT apartment is ready to Rent in Bashundhara R-A,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1568722-240x180.webp,https://www.bproperty.com/en/property/details-5370544.html,"January 4, 2023",23 Thousand
Don’t Waste Your Valuable Time! You Can Take This 1250 Sq Ft Apartment For Rent In Bashundhara R-A,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558270-240x180.webp,https://www.bproperty.com/en/property/details-5370546.html,"January 4, 2023",23 Thousand
"In The Nice Location Of Bayazid, An Apartments Of 1580 Sq Ft Is Available For Rent",3 ,3 ,"1,580 sqft","Bayazid, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1240805-240x180.webp,https://www.bproperty.com/en/property/details-4937223.html,"January 15, 2023",20 Thousand
Beautiful 3200 Sq Ft Apartment For Rent At Gulshan 1,4 ,4 ,"3,200 sqft","Gulshan 1, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1485988-240x180.webp,https://www.bproperty.com/en/property/details-3071757.html,"June 26, 2022",2.5 Lakh
A well-defined residential apartment of 3000 SQ FT is available for rent in Gulshan,3 ,3 ,"3,000 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1479042-240x180.webp,https://www.bproperty.com/en/property/details-3088379.html,"March 15, 2022",1.2 Lakh
Property for rent in Bashundhara R-A– 1250 SQ FT apartment,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1557514-240x180.webp,https://www.bproperty.com/en/property/details-5370551.html,"January 4, 2023",21 Thousand
"In The Most Prime Location Of Uttara, An Apartment Of 1800 Sq Ft Is Available For Rent",3 ,4 ,"1,800 sqft","Sector 12, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1445746-240x180.webp,https://www.bproperty.com/en/property/details-3451081.html,"February 15, 2023",60 Thousand
This flat in Bashundhara R-A is up for rent with an area of 1250 sq. ft,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558077-240x180.webp,https://www.bproperty.com/en/property/details-5370552.html,"January 4, 2023",21 Thousand
A Fine Flat Is Now For Rent Which Is In Bashundhara R-A Near Ebenzer International School,3 ,3 ,"2,000 sqft","Block D, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/26649-240x180.webp,https://www.bproperty.com/en/property/details-1972393.html,"August 7, 2022",40 Thousand
"An Apartment Is Ready For Rent At Bashundhara R-A, Near Independent University",3 ,4 ,"1,750 sqft","Block C, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1116160-240x180.webp,https://www.bproperty.com/en/property/details-1931033.html,"February 16, 2023",30 Thousand
Use Your Time Perfectly To Take This 1250 Sq Ft Flat For Rent In Bashundhara R-A,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1563317-240x180.webp,https://www.bproperty.com/en/property/details-5370543.html,"January 4, 2023",23 Thousand
Worthy 1250 SQ FT Nice home is ready to Rent at Bashundhara R-A,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558273-240x180.webp,https://www.bproperty.com/en/property/details-5370547.html,"January 4, 2023",23 Thousand
Brand New Flat Covering An Area Of 1310 Sq Ft Is Ready For Rent In Khilgaon,3 ,3 ,"1,310 sqft","Ward 23, Chowdhuripara, Khilgaon, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/914757-240x180.webp,https://www.bproperty.com/en/property/details-2047959.html,"February 17, 2023",28 Thousand
Tastefully Designed This 1250 Sq Ft Apartment Is Now Vacant For Rent In Bashundhara R-a,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558065-240x180.webp,https://www.bproperty.com/en/property/details-5370550.html,"January 4, 2023",21 Thousand
2200 sq. ft Flat For rent In Uttara Near NRB Commercial Bank,3 ,4 ,"2,200 sqft","Sector 3, Uttara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/44890-240x180.webp,https://www.bproperty.com/en/property/details-1931882.html,"February 18, 2023",60 Thousand
Wonderful Flat Covering An Area Of 1700 Sq Ft Is Available For Rent In Banani,3 ,4 ,"1,700 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1013794-400x300.webp,https://www.bproperty.com/en/property/details-5126870.html,"February 14, 2023",75 Thousand
"In this serene neighborhood of Dhanmondi, a flat is up for rent which is 2750 SQ FT",4 ,4 ,"2,750 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/810203-400x300.webp,https://www.bproperty.com/en/property/details-4084279.html,"February 20, 2023",1.2 Lakh
We Have A Ready Flat For Rent In Dhanmondi Nearby Dhanmondi Ideal College.,3 ,2 ,"1,400 sqft","Dhanmondi, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1510050-240x180.webp,https://www.bproperty.com/en/property/details-1959921.html,"February 19, 2023",28 Thousand
In Baridhara 2500 Sq Ft Flat Is Available For Rent Which Is Now Close To Baridhara Jame Masjid,4 ,4 ,"2,500 sqft","Block J, Baridhara, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1559594-240x180.webp,https://www.bproperty.com/en/property/details-1801763.html,"February 20, 2023",55 Thousand
"An Apartment Is Up For Rent In West Shewrapara, Near East West International School",1 Bed,1 Bath,550 sqft,"West Shewrapara, Mirpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-1983283.html,"March 6, 2020",12 Thousand
Affordable Flat Is Up For Rent In Rampura Nearby Hatir Jheel Lake,3 ,2 ,"1,050 sqft","Block D, Mohanagar Housing, West Rampura, Rampura, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/786887-240x180.webp,https://www.bproperty.com/en/property/details-1828790.html,"February 13, 2023",21 Thousand
1350 Sq Ft Flat For Rent In Khulshi Close To Khulshi Jame Masjid,2 ,4 ,"1,350 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1422255-240x180.webp,https://www.bproperty.com/en/property/details-1831055.html,"November 6, 2021",30 Thousand
Affordable and beautiful flat is up for rent in Bashundhara R-A which is 1250 SQ FT,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1558298-240x180.webp,https://www.bproperty.com/en/property/details-5370548.html,"January 4, 2023",23 Thousand
3590 Sq Ft Apartment Is Ready For Rent In Banani,4 ,5 ,"3,590 sqft","Banani DOHS, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1567630-400x300.webp,https://www.bproperty.com/en/property/details-5055585.html,"February 13, 2023",2 Lakh
Property in Bashundhara R-A– 1250 SQ FT Flat for rent,3 ,3 ,"1,250 sqft","Block K, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1557368-240x180.webp,https://www.bproperty.com/en/property/details-5370549.html,"January 4, 2023",21 Thousand
2200 Sq Ft Flat For Rent In Khulshi Near Khulshi Jame Masjid,4 ,5 ,"2,200 sqft","Zakir Hossain Housing Society, South Khulshi, Khulshi, Chattogram",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1479358-240x180.webp,https://www.bproperty.com/en/property/details-1849110.html,"February 11, 2023",1.1 Lakh
"In Bashundhara R-A, 1250 Square Feet Residential Apartment Is Up For Rent",3 ,3 ,"1,250 sqft","Block J, Bashundhara R-A, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/977143-240x180.webp,https://www.bproperty.com/en/property/details-2057397.html,"February 12, 2023",20 Thousand
For Rental Purpose This Nice Flat Is Now Available In Khilkhet Near Haji Bari Mosjid.,1 Bed,1 Bath,400 sqft,"Khilkhet, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1538533-400x300.webp,https://www.bproperty.com/en/property/details-2010529.html,"February 22, 2023",10 Thousand
"Check This Fine Looking Residence Of 1250 Sq Ft Offered For Rent At Dhaka Uddan, Mohammadpur",3 ,3 ,"1,250 sqft","Block C, Dhaka Uddan, Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1035652-240x180.webp,https://www.bproperty.com/en/property/details-4851836.html,"August 11, 2022",18 Thousand
Visit This Apartment For Rent Of 2400 Sq Ft In Gulshan,3 ,3 ,"2,400 sqft","Gulshan 2, Gulshan, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/779564-400x300.webp,https://www.bproperty.com/en/property/details-1869015.html,"February 12, 2023",1.5 Lakh
A Small 500 Sq Ft 1-bedroom Apartment For Rent In Mohammadi Housing Ltd.,1 Bed,1 Bath,500 sqft,"Mohammadi Housing LTD., Mohammadpur, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1570593-400x300.webp,https://www.bproperty.com/en/property/details-1957286.html,"February 20, 2023",10 Thousand
In The Location Of Banani An Excellent Flat Of 1650 Sq Ft Is Waiting For Rent,3 ,3 ,"1,650 sqft","Banani, Dhaka",Apartment,For Rent,https://images-cdn.bproperty.com/thumbnails/1325036-240x180.webp,https://www.bproperty.com/en/property/details-5274187.html,"February 10, 2023",85 Thousand
